,angle,trueIntercept,trueSlope
0,0.0,1.17738450668726,1.3890429171504128
1,10.0,1.170479177440758,1.5601639515850532
2,20.0,1.143391481511149,1.5008869076998084
3,30.0,1.1172292615723403,2.474054249818372
4,40.0,1.0389785963158822,1.5209788196215717
5,50.0,1.0569027146088372,2.3505862782665647
6,60.0,1.0090616514441495,1.4553869144828089
7,80.0,1.1068565217973703,1.6005963915994217
