,batchList,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
63,pvm2605,40,67,0.0,pvm_comp_1907.xlsx,1116.6666666666667,0
64,pvm2605,40,75,0.0,pvm_comp_1907.xlsx,1250.0,0
65,pvm2605,50,43,0.06896551724137931,pvm_comp_1907.xlsx,716.6666666666667,29
66,pvm2605,50,51,0.20689655172413793,pvm_comp_1907.xlsx,850.0000000000001,29
67,pvm2605,50,59,0.7241379310344828,pvm_comp_1907.xlsx,983.3333333333334,29
68,pvm2605,50,67,0.8275862068965517,pvm_comp_1907.xlsx,1116.6666666666667,29
69,pvm2605,50,75,0.896551724137931,pvm_comp_1907.xlsx,1250.0,29
70,pvm2605,60,43,0.06896551724137931,pvm_comp_1907.xlsx,716.6666666666667,29
71,pvm2605,60,51,0.41379310344827586,pvm_comp_1907.xlsx,850.0000000000001,29
72,pvm2605,60,59,0.6551724137931034,pvm_comp_1907.xlsx,983.3333333333334,29
73,pvm2605,60,67,0.8620689655172413,pvm_comp_1907.xlsx,1116.6666666666667,29
74,pvm2605,60,75,0.9655172413793104,pvm_comp_1907.xlsx,1250.0,29
75,pvm2605,80,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,0
76,pvm2605,80,51,0.0,pvm_comp_1907.xlsx,850.0000000000001,0
77,pvm2605,80,59,0.0,pvm_comp_1907.xlsx,983.3333333333334,0
78,pvm2605,80,67,0.0,pvm_comp_1907.xlsx,1116.6666666666667,0
79,pvm2605,80,75,0.0,pvm_comp_1907.xlsx,1250.0,0
80,pvm3004,0,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,0
81,pvm3004,0,51,0.0,pvm_comp_1907.xlsx,850.0000000000001,0
82,pvm3004,0,59,0.0,pvm_comp_1907.xlsx,983.3333333333334,0
83,pvm3004,0,67,0.0,pvm_comp_1907.xlsx,1116.6666666666667,0
84,pvm3004,0,75,0.0,pvm_comp_1907.xlsx,1250.0,0
85,pvm3004,10,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,29
86,pvm3004,10,51,0.27586206896551724,pvm_comp_1907.xlsx,850.0000000000001,29
87,pvm3004,10,59,0.4482758620689655,pvm_comp_1907.xlsx,983.3333333333334,29
88,pvm3004,10,67,0.7931034482758621,pvm_comp_1907.xlsx,1116.6666666666667,29
89,pvm3004,10,75,0.7931034482758621,pvm_comp_1907.xlsx,1250.0,29
90,pvm3004,20,43,0.1724137931034483,pvm_comp_1907.xlsx,716.6666666666667,29
91,pvm3004,20,51,0.20689655172413793,pvm_comp_1907.xlsx,850.0000000000001,29
92,pvm3004,20,59,0.4827586206896552,pvm_comp_1907.xlsx,983.3333333333334,29
93,pvm3004,20,67,0.6551724137931034,pvm_comp_1907.xlsx,1116.6666666666667,29
94,pvm3004,20,75,0.7931034482758621,pvm_comp_1907.xlsx,1250.0,29
95,pvm3004,30,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,0
96,pvm3004,30,51,0.0,pvm_comp_1907.xlsx,850.0000000000001,0
97,pvm3004,30,59,0.0,pvm_comp_1907.xlsx,983.3333333333334,0
98,pvm3004,30,67,0.0,pvm_comp_1907.xlsx,1116.6666666666667,0
99,pvm3004,30,75,0.0,pvm_comp_1907.xlsx,1250.0,0
100,pvm3004,40,43,0.20689655172413793,pvm_comp_1907.xlsx,716.6666666666667,29
101,pvm3004,40,51,0.3793103448275862,pvm_comp_1907.xlsx,850.0000000000001,29
102,pvm3004,40,59,0.6896551724137931,pvm_comp_1907.xlsx,983.3333333333334,29
103,pvm3004,40,67,0.7931034482758621,pvm_comp_1907.xlsx,1116.6666666666667,29
104,pvm3004,40,75,0.9655172413793104,pvm_comp_1907.xlsx,1250.0,29
105,pvm3004,50,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,0
106,pvm3004,50,51,0.0,pvm_comp_1907.xlsx,850.0000000000001,0
107,pvm3004,50,59,0.0,pvm_comp_1907.xlsx,983.3333333333334,0
108,pvm3004,50,67,0.0,pvm_comp_1907.xlsx,1116.6666666666667,0
109,pvm3004,50,75,0.0,pvm_comp_1907.xlsx,1250.0,0
110,pvm3004,60,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,0
111,pvm3004,60,51,0.0,pvm_comp_1907.xlsx,850.0000000000001,0
112,pvm3004,60,59,0.0,pvm_comp_1907.xlsx,983.3333333333334,0
113,pvm3004,60,67,0.0,pvm_comp_1907.xlsx,1116.6666666666667,0
114,pvm3004,60,75,0.0,pvm_comp_1907.xlsx,1250.0,0
115,pvm3004,80,43,0.06896551724137931,pvm_comp_1907.xlsx,716.6666666666667,29
116,pvm3004,80,51,0.20689655172413793,pvm_comp_1907.xlsx,850.0000000000001,29
117,pvm3004,80,59,0.4827586206896552,pvm_comp_1907.xlsx,983.3333333333334,29
118,pvm3004,80,67,0.8275862068965517,pvm_comp_1907.xlsx,1116.6666666666667,29
119,pvm3004,80,75,0.8275862068965517,pvm_comp_1907.xlsx,1250.0,29
120,pvm7721,0,43,0.0,pvm_comp_1907.xlsx,716.6666666666667,10
