,Observer,angleSeq,fstFrameN,percentS
0,lj2807b.xlsx,0,43,0.333333333333
1,lj2807b.xlsx,0,51,0.333333333333
2,lj2807b.xlsx,0,59,0.5
3,lj2807b.xlsx,0,67,0.333333333333
4,lj2807b.xlsx,0,75,1.0
5,lj2807b.xlsx,10,43,0.0
6,lj2807b.xlsx,10,51,0.333333333333
7,lj2807b.xlsx,10,59,0.0
8,lj2807b.xlsx,10,67,0.166666666667
9,lj2807b.xlsx,10,75,0.833333333333
10,lj2807b.xlsx,20,43,0.0
11,lj2807b.xlsx,20,51,0.333333333333
12,lj2807b.xlsx,20,59,0.166666666667
13,lj2807b.xlsx,20,67,0.333333333333
14,lj2807b.xlsx,20,75,1.0
15,lj2807b.xlsx,30,43,0.166666666667
16,lj2807b.xlsx,30,51,0.166666666667
17,lj2807b.xlsx,30,59,0.5
18,lj2807b.xlsx,30,67,1.0
19,lj2807b.xlsx,30,75,0.666666666667
20,lj2807b.xlsx,40,43,0.166666666667
21,lj2807b.xlsx,40,51,0.666666666667
22,lj2807b.xlsx,40,59,0.333333333333
23,lj2807b.xlsx,40,67,0.666666666667
24,lj2807b.xlsx,40,75,0.666666666667
25,lj2807b.xlsx,50,43,0.5
26,lj2807b.xlsx,50,51,0.333333333333
27,lj2807b.xlsx,50,59,0.166666666667
28,lj2807b.xlsx,50,67,0.333333333333
29,lj2807b.xlsx,50,75,0.666666666667
30,lj2807b.xlsx,60,43,0.666666666667
31,lj2807b.xlsx,60,51,0.333333333333
32,lj2807b.xlsx,60,59,0.333333333333
33,lj2807b.xlsx,60,67,0.833333333333
34,lj2807b.xlsx,60,75,0.833333333333
35,lj2807b.xlsx,70,43,0.166666666667
36,lj2807b.xlsx,70,51,0.333333333333
37,lj2807b.xlsx,70,59,0.5
38,lj2807b.xlsx,70,67,0.666666666667
39,lj2807b.xlsx,70,75,0.666666666667
40,lj2807b.xlsx,80,43,0.5
41,lj2807b.xlsx,80,51,0.666666666667
42,lj2807b.xlsx,80,59,0.666666666667
43,lj2807b.xlsx,80,67,1.0
44,lj2807b.xlsx,80,75,0.833333333333
