,baseName,mod,pse,angle,slopeHack,trueIntercept,trueSlope,true75,true25,pse25
0,P2All,1,1.0249683312220814,30,1.620430672002462,1.024961144075718,3.193311039775081,1.103249790839551,0.9466724973118849,0.9467497833188878
1,P2All,-1,0.9751250083338889,30,1.6495882454921418,0.9750791512935715,3.3517207244928517,1.049667704621751,0.9004905979653918,0.9005467031135408
2,P2All,1,1.0153543569571304,40,1.2518248636567477,1.0153040622047376,1.9661634009105977,1.1424552439855684,0.8881528804239067,0.8882258817254483
3,P2All,-1,0.9448829921994799,40,1.5266070622936379,0.9448443472678428,2.777676843497563,1.0348476176573558,0.8548410768783299,0.8549036602440163
4,P2All,1,0.9899659977331823,50,1.2788645688544102,0.98989369692972,2.0307335962694975,1.1130019177516217,0.8667854761078182,0.8668511234082272
5,P2All,-1,0.9499233282218815,50,1.520254381747962,0.9499233039958562,2.7533709567370965,1.0407210947505987,0.8591255132411137,0.8591972798186545
6,P2All,1,1.1065471031402092,60,1.2602876300689123,1.1064685423055016,1.9861256563844745,1.2323417463479376,0.9805953382630657,0.9806320421361423
7,P2All,-1,0.8226081738782585,60,1.3044346328988172,0.8225660045503044,2.0940172802622206,0.9419537490338141,0.7031782600667946,0.7032268817921195
8,P2All,1,1.1534035602373491,70,1.0593541421918424,1.153377397484733,1.5606259386793406,1.313569531809733,0.9931852631597331,0.9932328821921461
9,P2All,-1,0.8837455830388692,70,1.1606797825361939,0.8836715502196224,1.7637058880465033,1.0254185397230153,0.7419245607162295,0.7419627975198346
10,P2All,1,1.3852590172678179,80,0.47231409572697697,1.3852457952370025,0.6276365746669725,1.7835654759099324,0.9869261145640726,0.9869791319421295
11,P2All,-1,0.8419294619641309,80,1.0819542083389755,0.8418783490262187,1.6042312593116592,0.9977162299731774,0.68604046807926,0.6860524034935662
