,baseName,mod,pse,angle,slopeHack,trueIntercept,trueSlope,true75,true25,pse25
0,P3All,1,1.1002933528901926,30,1.5968741995571905,1.1002352827453314,3.077187582067317,1.1814782987567392,1.0189922667339237,1.018994599639976
1,P3All,-1,1.1253083538902593,30,1.6476939573180682,1.1252486432249171,3.3408643801725413,1.2000795766455334,1.0504177098043008,1.050450030002
2,P3All,1,1.1002933528901926,40,1.6255853830352394,1.1002066521326381,3.2200444818504708,1.1778453311661439,1.0225679730991324,1.0226348423228215
3,P3All,-1,1.087039135942396,40,1.23923379735432,1.0870163302804159,1.9368610203888377,1.2160911566971357,0.9579415038636961,0.9579505300353357
4,P3All,1,1.0750916727781852,50,1.6574062520618786,1.07505929315152,3.397450548712245,1.1486438814819546,1.0014747048210852,1.0015401026735116
5,P3All,-1,1.1534035602373491,50,1.2846065759427923,1.1533785710907063,2.0447490277257225,1.275642964720502,1.0311141774609105,1.0311287419161277
6,P3All,1,1.1052403493566239,60,1.4445740348199485,1.1051538368964702,2.49017140890334,1.2055485322600712,1.0047591415328692,1.0048069871324754
7,P3All,-1,1.0956263750916728,60,1.2525344654483166,1.0955801367660798,1.9678288338859453,1.2226237066614938,0.9685365668706659,0.968591239415961
8,P3All,1,1.0301020068004534,70,1.4086892543740264,1.0300431459946697,2.379309193960134,1.1351156605861419,0.9249706314031976,0.9250016667777852
9,P3All,-1,1.0659443962930861,70,1.1136727687443801,1.065922444465299,1.6669937323431343,1.2158930143297693,0.9159518746008288,0.916041069404627
10,P3All,1,1.0100340022668177,80,1.4184874944137158,1.0100124267459047,2.4088276254512295,1.1137973540518464,0.9062274994399631,0.9062404160277351
11,P3All,-1,1.2264884325621708,80,1.0456877518094168,1.22643188350293,1.5346801190604349,1.3893322800709493,1.0635314869349106,1.0636109073938262
