,Observer,angleSeq,fstFrameN,percentS
0,lj2807a.xlsx,0,43,0.333333333333
1,lj2807a.xlsx,0,51,0.166666666667
2,lj2807a.xlsx,0,59,0.833333333333
3,lj2807a.xlsx,0,67,0.333333333333
4,lj2807a.xlsx,0,75,0.833333333333
5,lj2807a.xlsx,10,43,0.166666666667
6,lj2807a.xlsx,10,51,0.166666666667
7,lj2807a.xlsx,10,59,0.0
8,lj2807a.xlsx,10,67,0.166666666667
9,lj2807a.xlsx,10,75,1.0
10,lj2807a.xlsx,20,43,0.0
11,lj2807a.xlsx,20,51,0.0
12,lj2807a.xlsx,20,59,0.333333333333
13,lj2807a.xlsx,20,67,0.333333333333
14,lj2807a.xlsx,20,75,0.333333333333
15,lj2807a.xlsx,30,43,0.0
16,lj2807a.xlsx,30,51,0.333333333333
17,lj2807a.xlsx,30,59,0.666666666667
18,lj2807a.xlsx,30,67,0.666666666667
19,lj2807a.xlsx,30,75,0.666666666667
20,lj2807a.xlsx,40,43,0.0
21,lj2807a.xlsx,40,51,0.166666666667
22,lj2807a.xlsx,40,59,0.666666666667
23,lj2807a.xlsx,40,67,0.666666666667
24,lj2807a.xlsx,40,75,1.0
25,lj2807a.xlsx,50,43,0.166666666667
26,lj2807a.xlsx,50,51,0.0
27,lj2807a.xlsx,50,59,0.333333333333
28,lj2807a.xlsx,50,67,0.666666666667
29,lj2807a.xlsx,50,75,0.666666666667
30,lj2807a.xlsx,60,43,0.333333333333
31,lj2807a.xlsx,60,51,0.333333333333
32,lj2807a.xlsx,60,59,0.333333333333
33,lj2807a.xlsx,60,67,0.5
34,lj2807a.xlsx,60,75,1.0
35,lj2807a.xlsx,70,43,0.166666666667
36,lj2807a.xlsx,70,51,0.5
37,lj2807a.xlsx,70,59,0.333333333333
38,lj2807a.xlsx,70,67,0.833333333333
39,lj2807a.xlsx,70,75,0.833333333333
40,lj2807a.xlsx,80,43,0.166666666667
41,lj2807a.xlsx,80,51,0.166666666667
42,lj2807a.xlsx,80,59,0.166666666667
43,lj2807a.xlsx,80,67,1.0
44,lj2807a.xlsx,80,75,0.833333333333
