,sizeSeq1,repNo,angleSeq,mod,trialID,FrameStim,stimLength,n,ExpectedcorrectAnswer_mean,ExpectedcorrectAnswer_raw,ExpectedcorrectAnswer_std,FrameStim_mean,FrameStim_raw,Resp_mean,Resp_raw,Resp_std,absMod_mean,absMod_raw,acc_mean,acc_raw,acc_std,actualcorrectAnswer_mean,actualcorrectAnswer_raw,actualcorrectAnswer_std,angleS_mean,angleS_raw,repNo_mean,repNo_raw,sizeSeq`_mean,sizeSeq`_raw,soundTLoc_mean,soundTLoc_raw,soundTLoc_std,stGap_mean,stGap_raw,stGap_std,stimLength_mean,stimLength_raw,timeafter_mean,timeafter_raw,timeafter_std,timebefore_mean,timebefore_raw,timebefore_std,totalGapTime_mean,totalGapTime_raw,totalGapTime_std,trialDropID_mean,trialDropID_raw,trialDropID_std,trialID_mean,trialID_raw,order
12,1,8,0.0,-1.0,13.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850660681725,0.8506606817245483,0.0,1.09761679173,1.097616791725159,0.0,1.94827747345,1.948277473449707,0.0,,,,13.0,13.0,12.0
13,1,26,0.0,1.0,14.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,26.0,26.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717202305794,0.7172023057937622,0.0,1.23064649105,1.23064649105072,0.0,1.94784879684,1.947848796844482,0.0,2.0,2.0,0.0,14.0,14.0,13.0
14,1,25,0.0,1.0,15.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,0.0,0.0,25.0,25.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11754119396,1.117541193962097,0.0,0.830435991287,0.8304359912872314,0.0,1.94797718525,1.947977185249329,0.0,,,,15.0,15.0,14.0
15,1,19,0.0,-1.0,16.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,1.0,1.0,0.0,-1.0,-1.0,,,,-1.0,-1.0,0.0,0.0,0.0,19.0,19.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11743545532,1.117435455322266,0.0,0.830915808678,0.8309158086776733,0.0,1.948351264,1.948351263999939,0.0,,,,16.0,16.0,15.0
16,1,29,0.0,-1.0,17.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,0.0,0.0,29.0,29.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25095200539,1.250952005386353,0.0,0.696981668472,0.69698166847229,0.0,1.94793367386,1.947933673858643,0.0,,,,17.0,17.0,16.0
17,1,19,0.0,1.0,18.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,19.0,19.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25093996525,1.250939965248108,0.0,0.69746696949,0.6974669694900513,0.0,1.94840681553,1.94840681552887,0.0,,,,18.0,18.0,17.0
18,1,22,0.0,1.0,19.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,-1.0,-1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,0.0,0.0,22.0,22.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850545823574,0.8505458235740662,0.0,1.09776628017,1.097766280174255,0.0,1.94831216335,1.948312163352966,0.0,,,,19.0,19.0,18.0
19,1,9,0.0,-1.0,20.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717195391655,0.7171953916549683,0.0,1.23102867603,1.23102867603302,0.0,1.94822406769,1.948224067687988,0.0,,,,20.0,20.0,19.0
20,1,4,0.0,-1.0,21.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,-1.0,-1.0,,,,-1.0,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984236061573,0.9842360615730286,0.0,0.96317833662,0.9631783366203308,0.0,1.94741439819,1.947414398193359,0.0,,,,21.0,21.0,20.0
21,1,21,0.0,1.0,22.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,0.0,0.0,21.0,21.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984063446522,0.984063446521759,0.0,0.963778078556,0.9637780785560608,0.0,1.94784152508,1.94784152507782,0.0,,,,22.0,22.0,21.0
