,sizeSeq1,repNo,angleSeq,mod,trialID,FrameStim,stimLength,n,ExpectedcorrectAnswer_mean,ExpectedcorrectAnswer_raw,ExpectedcorrectAnswer_std,FrameStim_mean,FrameStim_raw,Resp_mean,Resp_raw,Resp_std,absMod_mean,absMod_raw,acc_mean,acc_raw,acc_std,actualcorrectAnswer_mean,actualcorrectAnswer_raw,actualcorrectAnswer_std,angleS_mean,angleS_raw,repNo_mean,repNo_raw,sizeSeq`_mean,sizeSeq`_raw,soundTLoc_mean,soundTLoc_raw,soundTLoc_std,stGap_mean,stGap_raw,stGap_std,stimLength_mean,stimLength_raw,timeafter_mean,timeafter_raw,timeafter_std,timebefore_mean,timebefore_raw,timebefore_std,totalGapTime_mean,totalGapTime_raw,totalGapTime_std,trialDropID_mean,trialDropID_raw,trialDropID_std,trialID_mean,trialID_raw,order
12,1,1,0.0,1.0,13.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984034657478,0.9840346574783325,0.0,0.964114010334,0.9641140103340149,0.0,1.94814872742,1.948148727416992,0.0,,,,13.0,13.0,12.0
13,1,2,60.0,1.0,14.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,60.0,60.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984041631222,0.9840416312217712,0.0,0.964039802551,0.9640398025512695,0.0,1.94808137417,1.948081374168396,0.0,,,,14.0,14.0,13.0
14,1,2,50.0,1.0,15.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,50.0,50.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717285454273,0.7172854542732239,0.0,1.23073518276,1.230735182762146,0.0,1.94802069664,1.948020696640015,0.0,,,,15.0,15.0,14.0
15,1,1,50.0,-1.0,16.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,50.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717282533646,0.7172825336456299,0.0,1.23100733757,1.23100733757019,0.0,1.94828987122,1.94828987121582,0.0,,,,16.0,16.0,15.0
16,1,2,60.0,-1.0,17.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,60.0,60.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717198431492,0.7171984314918518,0.0,1.23029899597,1.23029899597168,0.0,1.94749736786,1.947497367858887,0.0,,,,17.0,17.0,16.0
17,1,1,50.0,-1.0,18.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,50.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.1179485321,1.117948532104492,0.0,0.830365121365,0.8303651213645935,0.0,1.94831359386,1.948313593864441,0.0,2.0,2.0,0.0,18.0,18.0,17.0
18,1,2,10.0,-1.0,19.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11752641201,1.117526412010193,0.0,0.830743968487,0.8307439684867859,0.0,1.9482704401,1.948270440101624,0.0,,,,19.0,19.0,18.0
19,1,1,20.0,1.0,20.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717261731625,0.7172617316246033,0.0,1.23141944408,1.231419444084167,0.0,1.9486811161,1.948681116104126,0.0,,,,20.0,20.0,19.0
20,1,1,10.0,1.0,21.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850661695004,0.8506616950035095,0.0,1.09760832787,1.097608327865601,0.0,1.94827008247,1.948270082473755,0.0,,,,21.0,21.0,20.0
21,1,1,40.0,1.0,22.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850715458393,0.8507154583930969,0.0,1.09750556946,1.097505569458008,0.0,1.94822108746,1.94822108745575,0.0,,,,22.0,22.0,21.0
