,Observer,angleSeq,fstFrameN,percentS
0,dm50s2a.xlsx,50,43,0.3
1,dm50s2a.xlsx,50,51,0.3
2,dm50s2a.xlsx,50,59,0.383333333333
3,dm50s2a.xlsx,50,67,0.4
4,dm50s2a.xlsx,50,75,0.6
